Sr,Population,value
6781.58690169376,Competition Specialist,6733.629503031741
6868.103588995307,Competition Specialist,6733.6295030316915
6955.724020492732,Competition Specialist,6733.629503031684
7044.462277299037,Competition Specialist,6733.629503031695
7134.332620168256,Competition Specialist,6733.629503031688
7225.349491787214,Competition Specialist,6733.629503031692
7317.527519096606,Competition Specialist,6733.629490822441
7410.881515641569,Competition Specialist,6733.629503031691
7505.426483952362,Competition Specialist,6733.629503031692
7601.17761795533,Competition Specialist,6733.629503031691
7698.150305414641,Competition Specialist,6733.629503031694
7796.360130405237,Competition Specialist,6733.629503031698
7895.822875817228,Competition Specialist,6733.629503031693
7996.554525892347,Competition Specialist,6733.62950303169
8098.571268792684,Competition Specialist,6733.62950303169
8201.889499202203,Competition Specialist,6733.629503031718
8306.525820961508,Competition Specialist,6733.62950303169
8412.49704973612,Competition Specialist,6733.629503031691
8519.8202157189,Competition Specialist,6733.629503031716
8628.512566366895,Competition Specialist,6733.629503031693
8738.591569173057,Competition Specialist,6733.6295030316915
8850.074914473438,Competition Specialist,6733.629503031692
8962.98051829007,Competition Specialist,6733.629341748119
9077.326525210223,Competition Specialist,6733.629503031864
9193.131311302326,Competition Specialist,6733.629503031694
9310.413487069076,Competition Specialist,6733.629503031701
9429.191900438324,Competition Specialist,6733.62950303169
9549.485639791967,Competition Specialist,6733.6295030316405
9671.314037033631,Competition Specialist,6733.629503031615
9794.696670695395,Competition Specialist,6733.629503031699
9919.653369084137,Competition Specialist,6733.629503036342
10046.204213468132,Competition Specialist,6733.629503031696
10174.36954130415,Competition Specialist,6733.629374873999
10304.169949505875,Competition Specialist,6733.629503031726
10435.626297753925,Competition Specialist,6733.62950303167
10568.75971184805,Competition Specialist,6733.629503031689
10703.591587102306,Competition Specialist,6733.629485583718
10840.14359178331,Competition Specialist,6733.6293818779
10978.437670592484,Competition Specialist,6733.629503038377
11118.4960481927,Competition Specialist,6733.6295030316915
11260.3412327799,Competition Specialist,6733.6295030316915
11403.996019700331,Competition Specialist,6733.629377340127
11549.483495113791,Competition Specialist,6733.629098502314
11696.827039703847,Competition Specialist,6733.629503031691
11846.05033243518,Competition Specialist,6733.62950303169
11997.177354358855,Competition Specialist,6733.629503031692
12150.232392466372,Competition Specialist,6733.629503031704
12305.240043592616,Competition Specialist,6733.629347464101
12462.225218368741,Competition Specialist,6733.629503031691
12621.213145225462,Competition Specialist,6733.629712910418
12782.229374447415,Competition Specialist,6733.62950303159
12945.29978227916,Competition Specialist,6733.62950303169
13110.450575083778,Competition Specialist,6733.629503033224
13277.708293554291,Competition Specialist,6733.629183705546
13447.099816978958,Competition Specialist,6733.6292324939395
13618.652367560828,Competition Specialist,6733.629503031682
13792.393514792659,Competition Specialist,6733.62889722752
13968.351179887397,Competition Specialist,6733.62950303169
14146.553640265303,Competition Specialist,6733.629914269698
14327.029534098294,Competition Specialist,6733.629564730247
14509.8078649123,Competition Specialist,6733.6295030316915
14694.918006248172,Competition Specialist,6733.62927492951
14882.38970638237,Competition Specialist,6733.629503031692
15072.253093107556,Competition Specialist,6733.630147698109
15264.538678574369,Competition Specialist,6733.629503031691
15459.277364194786,Competition Specialist,6733.6295030316915
15656.500445608335,Competition Specialist,6733.628842403336
15856.239617711371,Competition Specialist,6733.629848078731
16058.526979750659,Competition Specialist,6733.630179897376
16263.395040481906,Competition Specialist,6733.6297767447395
16470.876723394143,Competition Specialist,6733.629604817033
16681.005372000593,Competition Specialist,6733.629503031692
16893.814755197352,Competition Specialist,6733.629503031708
17109.339072690134,Competition Specialist,6733.630047403728
17327.61296049042,Competition Specialist,6733.63006083039
17548.671496481522,Competition Specialist,6733.629183809386
17772.55020605602,Competition Specialist,6733.629503031651
17999.285067824763,Competition Specialist,6733.62950303169
18228.91251939887,Competition Specialist,6733.629660933514
18461.469463245456,Competition Specialist,6733.6297156421915
18696.993272618136,Competition Specialist,6733.6295030316915
18935.521797562953,Competition Specialist,6733.629503031695
19177.093371001327,Competition Specialist,6733.629503031654
19421.746814890244,Competition Specialist,6733.6295030316805
19669.521446461233,Competition Specialist,6733.630047829898
19920.457084538713,Competition Specialist,6733.629412002714
20174.594055939364,Competition Specialist,6733.628709185447
20431.973201952704,Competition Specialist,6733.630100069565
20692.63588490458,Competition Specialist,6733.628491760509
20956.623994804308,Competition Specialist,6733.629503031693
21223.979956076717,Competition Specialist,6733.629930912776
21494.746734379805,Competition Specialist,6733.629224260087
21768.967843509832,Competition Specialist,6733.628758051039
22046.687352394074,Competition Specialist,6733.6296446052465
22327.94989217305,Competition Specialist,6733.628577696655
22612.800663372796,Competition Specialist,6733.62981103288
22901.285443169167,Competition Specialist,6733.629285831943
23193.450592744273,Competition Specialist,6733.62893463817
23489.343064737077,Competition Specialist,6733.6295030316405
23789.01041078891,Competition Specialist,6733.628826292684
24092.500789185386,Competition Specialist,6733.629804987559
24399.862972595503,Competition Specialist,6733.628411124358
24711.14635590999,Competition Specialist,6733.6291200639425
25026.400964179167,Competition Specialist,6733.628753028837
25345.677460652347,Competition Specialist,6733.6286809287585
25669.02715491952,Competition Specialist,6733.6306488108785
25996.502011157405,Competition Specialist,6733.628518455965
26328.1546564802,Competition Specialist,6733.628748908751
26664.0383893971,Competition Specialist,6733.629391708679
27004.2071883777,Competition Specialist,6733.629319543257
27348.715720526674,Competition Specialist,6733.628744535273
27697.61935036891,Competition Specialist,6733.629503031961
28050.974148747213,Competition Specialist,6733.629143117419
28408.836901833012,Competition Specialist,6733.630771657395
28771.26512025234,Competition Specialist,6733.629477075817
29138.317048327885,Competition Specialist,6733.629567547419
29510.05167343955,Competition Specialist,6733.6304670241025
29886.528735503827,Competition Specialist,6733.628741807491
30267.80873657441,Competition Specialist,6733.63095936387
30653.952950565235,Competition Specialist,6733.629503031641
31045.02343309761,Competition Specialist,6733.628342344213
31441.083031472648,Competition Specialist,6733.629503031717
31842.19539477161,Competition Specialist,6733.6294917965615
32248.424984084453,Competition Specialist,6733.629503031786
32659.837082868937,Competition Specialist,6733.629058363707
33076.49780744242,Competition Specialist,6733.630145948646
33498.474117606915,Competition Specialist,6733.629686473371
33925.83382740992,Competition Specialist,6733.629295056179
34358.645616042595,Competition Specialist,6733.629842518446
34796.97903887688,Competition Specialist,6733.629344471939
35240.90453864351,Competition Specialist,6733.629327558678
35690.493456752294,Competition Specialist,6733.629808294375
36145.81804475754,Competition Specialist,6733.629275401471
36606.951475969065,Competition Specialist,6733.629707569048
37073.96785721134,Competition Specialist,6733.6292059515745
37546.94224073337,Competition Specialist,6733.627592117173
38025.95063626969,Competition Specialist,6733.629566577836
38511.07002325569,Competition Specialist,6733.6298542882005
39002.37836319859,Competition Specialist,6733.630031060095
39499.95461220639,Competition Specialist,6733.626742728878
40003.87873367658,Competition Specialist,6733.629664544461
40514.23171114647,Competition Specialist,6733.629499012008
41031.09556130814,Competition Specialist,6733.629329643372
41554.5533471888,Competition Specialist,6733.62932479192
42084.68919149921,Competition Specialist,6733.628022094747
42621.588290153246,Competition Specialist,6733.6292656851765
43165.336925959,Competition Specialist,6733.629458530858
43716.02248248502,Competition Specialist,6733.629526942744
44273.73345810337,Competition Specialist,6733.6298762047945
44838.55948021191,Competition Specialist,6733.629673041489
45410.591319637584,Competition Specialist,6733.6293976817105
45989.92090522438,Competition Specialist,6733.629503021904
46576.64133860644,Competition Specialist,6733.627918650281
47170.84690917022,Competition Specialist,6733.628798066383
47772.633109207,Competition Specialist,6733.629430900749
48382.09664925957,Competition Specialist,6733.6299960146
48999.33547366384,Competition Specialist,6733.628932810876
49624.44877628914,Competition Specialist,6733.62889207201
50257.537016479226,Competition Specialist,6733.628975651097
50898.70193519685,Competition Specialist,6733.629211215171
51548.04657137365,Competition Specialist,6733.628700482004
52205.67527846975,Competition Specialist,6733.62919887639
52871.69374124356,Competition Specialist,6733.628445436941
53546.20899273613,Competition Specialist,6733.628963568949
54229.32943147155,Competition Specialist,6733.628846055132
54921.16483887789,Competition Specialist,6733.628579848257
55621.82639692926,Competition Specialist,6733.628637429968
56331.42670601352,Competition Specialist,6733.628983143373
57050.07980302781,Competition Specialist,6733.629458576787
57777.90117970507,Competition Specialist,6733.628211199598
58515.00780117376,Competition Specialist,6733.628736443674
59261.51812475552,Competition Specialist,6733.628668761101
60017.55211900154,Competition Specialist,6733.630178822452
60783.23128297236,Competition Specialist,6733.62883415492
61558.67866576306,Competition Specialist,6733.628862840153
62344.01888627864,Competition Specialist,6733.628695889233
63139.37815326057,Competition Specialist,6733.629379833324
63944.884285569366,Competition Specialist,6733.629349041851
64760.6667327258,Competition Specialist,6733.629850558476
65586.85659571436,Competition Specialist,6733.6297590814875
66423.58664805138,Competition Specialist,6733.6300613778385
67270.99135712336,Competition Specialist,6733.62982877604
68129.20690579608,Competition Specialist,6733.629986881583
68998.37121430025,Competition Specialist,6733.630450414923
69878.62396239558,Competition Specialist,6733.630114261328
70770.10661181889,Competition Specialist,6733.63012879081
71672.9624290174,Competition Specialist,6733.630144592225
72587.33650817246,Competition Specialist,6733.6302356854985
73513.37579451718,Competition Specialist,6733.630246028047
74451.22910795143,Competition Specialist,6733.630216479021
75401.04716695752,Competition Specialist,6733.630230757935
76362.98261282242,Competition Specialist,6733.630008720934
77337.19003416746,Competition Specialist,6733.630114888115
78323.82599179204,Competition Specialist,6733.630298606588
79323.04904383309,Competition Specialist,6733.630359911836
80335.01977124735,Competition Specialist,6733.630709722873
81359.90080361694,Competition Specialist,6733.630989829919
82397.85684528512,Competition Specialist,6733.63118964311
83449.05470182517,Competition Specialist,6733.6318098722095
84513.66330684721,Competition Specialist,6733.632239275617
85591.85374914619,Competition Specialist,6733.6330331636045
86683.79930019774,Competition Specialist,6733.633877715631
87789.67544200335,Competition Specialist,6733.634932428485
88909.65989529167,Competition Specialist,6733.636060700063
90043.93264807848,Competition Specialist,6733.637300842433
91192.67598459298,Competition Specialist,6733.63853356752
92356.07451457114,Competition Specialist,6733.640021638344
93534.31520292377,Competition Specialist,6733.641436185964
94727.58739978286,Competition Specialist,6733.642715750944
95936.08287093147,Competition Specialist,6733.643961880686
97159.99582862075,Competition Specialist,6733.645095415539
98399.52296278227,Competition Specialist,6733.645665962928
99654.8634726365,Competition Specialist,6733.646139769272
100926.21909870484,Competition Specialist,6733.646140740297
102213.79415523158,Competition Specialist,6733.6451099417845
103517.79556301763,Competition Specialist,6733.643658291
104838.4328826741,Competition Specialist,6733.641319940337
106175.9183482999,Competition Specialist,6733.638067344661
107530.46690158901,Competition Specialist,6733.633794668966
108902.29622637304,Competition Specialist,6733.628431518173
110291.62678360348,Competition Specialist,6733.621526735803
111698.68184678226,Competition Specialist,6733.613686144947
113123.68753784259,Competition Specialist,6733.6047228082025
114566.87286348727,Competition Specialist,6733.594385457137
116028.46975199282,Competition Specialist,6733.5828849231175
117508.71309048076,Competition Specialist,6733.5704216403
119007.84076266561,Competition Specialist,6733.556811308449
120526.09368708414,Competition Specialist,6733.542558114371
122063.71585581239,Competition Specialist,6733.527432627518
123620.95437367691,Competition Specialist,6733.511993154328
125198.05949796486,Competition Specialist,6733.496369482043
126795.2846786434,Competition Specialist,6733.480720062211
128412.88659908975,Competition Specialist,6733.465456548106
130051.12521734099,Competition Specialist,6733.451141939014
131710.26380787234,Competition Specialist,6733.437976555263
133390.56900390587,Competition Specialist,6733.426434161643
135092.31084026027,Competition Specialist,6733.416246512275
136815.76279674706,Competition Specialist,6733.4091810572445
138561.20184212027,Competition Specialist,6733.404279911547
140328.9084785873,Competition Specialist,6733.402577716339
142119.16678688623,Competition Specialist,6733.40425900849
143932.26447194064,Competition Specialist,6733.410560189943
145768.492909095,Competition Specialist,6733.421393667327
147628.1471909391,Competition Specialist,6733.436526847992
149511.52617473333,Competition Specialist,6733.457007949119
151418.9325304352,Competition Specialist,6733.482970187736
153350.67278934078,Competition Specialist,6733.514587494806
155307.05739334584,Competition Specialist,6733.5517818113685
157288.40074483582,Competition Specialist,6733.5958519040005
159295.0212572123,Competition Specialist,6733.645667700765
161327.24140606273,Competition Specialist,6733.702348293012
163385.38778098638,Competition Specialist,6733.765424696116
165469.79113807643,Competition Specialist,6733.834592579377
167580.78645307687,Competition Specialist,6733.910214225518
169718.7129752137,Competition Specialist,6733.991791968257
171883.91428171456,Competition Specialist,6734.079308395473
174076.7383330235,Competition Specialist,6734.172329856305
176297.5375287204,Competition Specialist,6734.270367569892
178546.66876415352,Competition Specialist,6734.373050493023
180824.49348779517,Competition Specialist,6734.480148022027
183131.3777593269,Competition Specialist,6734.589991201753
185467.69230847014,Competition Specialist,6734.703430881871
187833.81259456163,Competition Specialist,6734.818213912946
190230.11886689457,Competition Specialist,6734.934381243158
192656.9962258253,Competition Specialist,6735.051464768028
195114.83468466165,Competition Specialist,6735.168002168032
197604.0292323402,Competition Specialist,6735.281556462801
200124.9798969035,Competition Specialist,6735.393024347117
202678.09180978674,Competition Specialist,6735.5014566046075
205263.77527092522,Competition Specialist,6735.604684182554
207882.44581469023,Competition Specialist,6735.7026677795275
210534.52427667083,Competition Specialist,6735.793424781346
213220.4368613011,Competition Specialist,6735.875618349811
215940.61521035677,Competition Specialist,6735.948613306634
218695.49647232075,Competition Specialist,6736.013012229051
221485.52337263591,Competition Specialist,6736.063628622421
224311.1442848537,Competition Specialist,6736.104399573394
227172.81330269028,Competition Specialist,6736.129918276964
230070.99031300197,Competition Specialist,6736.142395910279
233006.14106969247,Competition Specialist,6736.140408120342
235978.73726856004,Competition Specialist,6736.122131185366
238989.25662310526,Competition Specialist,6736.088304988758
242038.1829412985,Competition Specialist,6736.037393924644
245126.006203334,Competition Specialist,6735.969003663328
248253.22264037063,Competition Specialist,6735.882278169909
251420.33481427966,Competition Specialist,6735.778173143981
254627.85169840933,Competition Specialist,6735.655938611758
257876.28875937982,Competition Specialist,6735.515513862157
261166.16803992176,Competition Specialist,6735.3571654531
264498.01824277197,Competition Specialist,6735.178740262105
267872.3748156372,Competition Specialist,6734.983792358372
271289.780037247,Competition Specialist,6734.770135510797
274750.7831044972,Competition Specialist,6734.539780791752
278255.94022071257,Competition Specialist,6734.291899083262
281805.81468502985,Competition Specialist,6734.027308487524
285400.97698292375,Competition Specialist,6733.7469489610485
289042.00487788714,Competition Specialist,6733.450626885914
292729.4835042813,Competition Specialist,6733.1399789299585
296464.0054613707,Competition Specialist,6732.814629851399
300246.1709085549,Competition Specialist,6732.475727163102
304076.5876618214,Competition Specialist,6732.124327383098
307955.871291423,Competition Specialist,6731.761039094287
311884.64522080205,Competition Specialist,6731.386203369289
315863.5408267819,Competition Specialist,6731.00104523759
319893.19754103007,Competition Specialist,6730.60579220019
323974.2629528195,Competition Specialist,6730.201698254594
328107.39291309996,Competition Specialist,6729.789268081069
332293.25163989683,Competition Specialist,6729.369252834262
336532.5118250557,Competition Specialist,6728.942473325015
340825.85474234517,Competition Specialist,6728.509959521432
345173.9703569455,Competition Specialist,6728.071519639096
349577.55743632786,Competition Specialist,6727.627901742623
354037.3236625486,Competition Specialist,6727.180996094921
358553.9857459817,Competition Specialist,6726.730476748917
363128.26954049565,Competition Specialist,6726.276399007428
367760.91016010306,Competition Specialist,6725.820652742564
372452.6520970979,Competition Specialist,6725.362272499107
377204.24934169935,Competition Specialist,6724.902941924444
382016.46550322376,Competition Specialist,6724.441969719491
386890.07393279753,Competition Specialist,6723.981357228439
391825.857847644,Competition Specialist,6723.519737154917
396824.6104569486,Competition Specialist,6723.058845010404
401887.1350893299,Competition Specialist,6722.598284805969
407014.2453219439,Competition Specialist,6722.138062003532
412206.7651112274,Competition Specialist,6721.680460402816
417465.52892531344,Competition Specialist,6721.2234890932605
422791.38187813526,Competition Specialist,6720.766646645589
428185.1798652407,Competition Specialist,6720.315119254904
433647.78970134084,Competition Specialist,6719.862796129173
439180.0892596086,Competition Specialist,6719.412543008742
444782.96761276305,Competition Specialist,6718.965837657522
450457.3251759463,Competition Specialist,6718.522938310488
456204.07385142246,Competition Specialist,6718.081991222682
462024.1371751313,Competition Specialist,6717.642861195552
467918.450465102,Competition Specialist,6717.207267248561
473887.9609717651,Competition Specialist,6716.775174314065
479933.6280301816,Competition Specialist,6716.345504708604
486056.4232142129,Competition Specialist,6715.920405168108
492257.33049266017,Competition Specialist,6715.495894817778
498537.34638738935,Competition Specialist,6715.075226921138
504897.4801334852,Competition Specialist,6714.65933097932
511338.75384143315,Competition Specialist,6714.242558043564
517862.2026613854,Competition Specialist,6713.832661540378
524468.8749495118,Competition Specialist,6713.425087472758
531159.8324364776,Competition Specialist,6713.019735062843
537936.1503980698,Competition Specialist,6712.620503184397
544798.9178279998,Competition Specialist,6712.219158460837
551749.2376129117,Competition Specialist,6711.827594412941
558788.2267096237,Competition Specialist,6711.435235764791
565917.0163246242,Competition Specialist,6711.046930270692
573136.7520958723,Competition Specialist,6710.65861078405
580448.5942768984,Competition Specialist,6710.2765714132165
587853.7179232724,Competition Specialist,6709.896331542959
595353.313081437,Competition Specialist,6709.518191558495
602948.5849799565,Competition Specialist,6709.143635465894
610640.7542232036,Competition Specialist,6708.773222649398
618431.0569875183,Competition Specialist,6708.401300538675
626320.7452198679,Competition Specialist,6708.036688285835
634311.0868390441,Competition Specialist,6707.672356314489
642403.3659394191,Competition Specialist,6707.310596527195
650598.8829973167,Competition Specialist,6706.949798347137
658898.9550799957,Competition Specialist,6706.5917501238355
667304.9160573194,Competition Specialist,6706.237497197534
675818.116816111,Competition Specialist,6705.8863384263495
684439.9254772507,Competition Specialist,6705.533978704145
693171.72761554,Competition Specialist,6705.1853593245705
702014.9264823721,Competition Specialist,6704.838919240062
710970.9432312424,Competition Specialist,6704.49327371507
720041.2171461376,Competition Specialist,6704.147379000965
729227.2058728313,Competition Specialist,6703.806018745505
738530.3856531461,Competition Specialist,6703.465677685941
747952.2515621829,Competition Specialist,6703.123836206685
