t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C,Sr
1999.0,0.2000000000000003,508140.7595197027,8.301652850433311e-10,3.013935320536592e-13,-6.056997760993879e-15,4.077039431592035e-16,1.427696872416298e-17,-8.288843214000482e-19,-4.8757151525834815e-20,-1.1704039766511646e-21,-1.2849029919720214e-23,4.2433215366302423e-16,101628.15190393986
1999.0,0.19999999999999943,521202.00351076864,-2.7770496446001425e-10,-2.118018458818745e-13,3.170403137004569e-16,6.513862161076603e-17,-2.0775268661364017e-17,-1.079776655491819e-19,2.1229866592272765e-19,-2.5365214063344398e-20,-8.541350698876426e-21,4.9498725813486343e-17,104240.40070215557
1999.0,0.20000000000000007,534598.9735608262,6.991393692847126e-10,3.523936162169687e-14,-7.527560774617952e-16,-2.3366459395134045e-17,5.508573709217505e-18,1.03132275965267e-18,-2.9054488637546455e-19,4.160795713741319e-21,4.098277288793224e-21,1.4726953472015663e-16,106919.79471216488
1999.0,0.19999999999999973,548340.2991684276,-1.6765274843652037e-10,-1.6146377331444621e-13,1.6940874525400784e-16,3.9616246595103105e-17,-1.474874008385866e-17,-1.4858401472260678e-20,1.113993254089951e-19,-1.1425609593068931e-20,-6.74812817787419e-21,-6.603942730275665e-17,109668.05983368697
1999.0,0.19999999999999948,562434.8316447196,-2.9989151164710105e-10,-2.1759303756521814e-13,3.1995927619988673e-16,6.563988265918879e-17,-1.016394137701575e-17,1.3896667780400563e-18,1.0495221708706564e-19,-3.6817456786527035e-20,-4.1840519617353464e-21,5.054435226680074e-16,112486.96632894587
1999.0,0.20000000000000034,576891.6498148344,-5.420337091122054e-10,-1.9695618827263018e-13,-1.0813759529381043e-15,1.715620265131313e-16,-2.728227038391941e-17,3.5978287868571265e-18,4.031102599389109e-18,8.682221014057548e-19,4.837860374513353e-20,-5.090103300284322e-16,115378.3299629662
1999.0,0.1999999999999997,591720.0658658585,-1.705394248685947e-10,-7.451433935373323e-14,-5.068208935776852e-16,1.1793892928590832e-17,-4.592212885403265e-19,6.761851016056352e-20,-7.82773288121315e-20,9.740102045829767e-22,-3.8115360777515086e-21,1.4181129071478947e-16,118344.01317317334
1999.0,0.2000000000000004,606929.6313453154,-2.7376308463001926e-10,-4.222632808972813e-14,-4.186078587777412e-17,5.015265232542056e-18,-1.3000320607327656e-18,-3.985052029938208e-20,-1.6649357439447386e-20,1.8046404653368534e-20,3.338360580397697e-22,4.1369077251093464e-15,121385.9262690629
1999.0,0.2000000000000003,622530.143313515,-1.0732949788205241e-10,-1.2650400246767167e-13,-6.446538888322443e-16,3.830091035747595e-17,-9.924268407019589e-18,3.0881712942957027e-18,1.1802832009087501e-18,1.3332191003728865e-19,2.0847229615049258e-22,8.998291093355336e-16,124506.02866270259
1999.0,0.2,638531.6506543243,1.6673653881659409e-10,5.728387624002109e-15,6.751855485644881e-17,-1.3672985430917752e-18,-1.476174069605766e-19,-2.127183252522108e-19,4.2220478375499334e-20,3.386491984135336e-21,-1.2589130974561872e-21,5.1626744299502165e-15,127706.33013086447
1999.0,0.19999999999999965,654944.4605479935,-1.8567850959513684e-10,-1.186955963741006e-13,5.151487239144714e-17,2.3779163218186365e-17,-1.0492981149477199e-17,1.1277347014830404e-19,9.635766229908693e-20,8.159247247692882e-23,1.970168253047944e-21,-2.3753486220051213e-13,130988.89210959862
1999.0,0.20000000000000015,671779.1451104167,7.550179704723947e-10,8.054769491953284e-14,-1.140060909516988e-15,-1.9132770028781275e-17,1.0028371732299754e-17,2.0851623443173282e-19,-3.891270170503293e-19,3.076045244596672e-20,5.376533769110682e-22,-5.202419920129767e-12,134355.82902208262
1999.0,0.19999999999999965,689046.548203002,-2.4365944925850475e-10,-1.9539363655680318e-13,3.22813230458502e-16,1.9125499892117976e-17,-1.439104027409861e-17,5.357091273659369e-19,1.3253055623063268e-19,-2.3344740412826246e-20,-6.57581905040118e-21,2.514989900347714e-11,137809.30964060212
1999.0,0.20000000000000018,706757.7924177006,8.19918590348909e-10,5.25750645472751e-14,-1.5604521560709774e-15,-1.772832730277084e-17,3.226658948631962e-18,-2.5017480522872896e-19,-1.7118184630455907e-19,9.648810518720315e-20,-2.155093279932616e-20,8.446652657178673e-11,141351.55848353956
1999.0,0.20000000000000004,724924.2862413569,-5.350784359063527e-10,-1.0395964230409939e-14,1.4747315702487663e-16,1.0660621717491561e-17,-4.672769038532035e-19,-7.423614233223835e-20,-8.564039125850698e-20,1.7209479904072052e-20,-3.904893613517688e-22,-6.321455714827647e-10,144984.85724827123
1999.0,0.2,743557.7314044767,-6.080592816263207e-12,8.441503138313375e-16,2.219482921799682e-17,-2.285670206344199e-18,9.15162375222641e-19,-1.1198938705715446e-19,-1.038285377545499e-20,4.13593938922989e-21,3.110154732419599e-23,-4.187643006271828e-10,148711.5462808954
1999.0,0.20000000000000012,762670.1304186913,-5.0812247694202285e-14,7.572723117949359e-18,1.6632638386980414e-19,-2.837073677479236e-19,1.8576010911654738e-19,1.3462431088163164e-19,4.1771208112677004e-20,-5.714779222879426e-21,-1.3139361504437224e-20,8.925131656595945e-09,152534.02608373837
1999.0,0.20000000000141838,782273.7943025001,4.3907085700722475e-18,2.4764873597591437e-21,-3.0556679692024173e-22,4.057603906310173e-23,-3.3066052236338178e-22,2.1235163669308705e-21,-5.867016364168448e-22,4.160536222269115e-21,6.473755276543908e-20,0.0001386879422747866,156454.7588616096
1999.0,0.2000000319604365,802381.222316737,-1.3302772590185088e-11,3.004244513336754e-14,4.993844035928019e-16,-4.258794888553416e-17,3.144785365593671e-18,-1.4618448060922284e-18,-1.3733009144764054e-18,-2.4062883830155846e-19,1.2667560006392827e-20,3.2055567593271928,160476.27010780125
1999.0,0.20196685726232044,814990.9261369519,6.456554730236248e-18,4.2996200660447523e-32,-2.818650335013783e-32,-1.7748561099254906e-33,-1.9579455118860795e-33,1.4582463622192084e-33,-8.304453123171644e-33,1.1898948064297694e-32,-2.701428018023493e-33,200370.62451113525,164601.15023085498
1999.0,0.2110400702320059,800000.0001778686,6.102898393118519e-10,-5.38233906534946e-16,4.527898225375571e-18,-9.995789258107868e-19,2.5324920005983296e-20,1.4943457090310168e-21,-1.653038376563024e-23,1.218302334588543e-24,-5.34370229345903e-25,1104007.0234460363,168832.0562231424
1999.0,0.2164646417096397,800000.0000073065,1.5622043334673178e-05,-2.148909983566648e-15,-1.1022299106553682e-18,-2.0106023591565427e-18,2.2679509357534344e-19,-2.0858383521408298e-18,2.592949853531334e-19,1.7551947388883393e-19,4.6431213567376335e-21,1646464.1709695691,173171.71337233527
1999.0,0.22202856005231336,800000.0027903183,0.3420756152535964,5.091356771214561e-10,7.062682085394727e-13,-8.534032517291349e-15,5.431556287965693e-16,-5.94721807539285e-17,-9.813349862922963e-18,-1.2367424218108323e-18,1.2658393409268426e-19,2202856.0054601133,177622.91701686737
1999.0,0.22626608009607002,799152.094497376,6715.409781721436,2.0992396067324835e-16,9.855206181566904e-25,4.739276338868088e-25,3.8089546665192862e-25,-3.1347817865362024e-25,5.287358823012828e-26,-8.357191455412592e-27,4.645937185491941e-28,2626879.186970527,182188.5343465165
1999.0,0.22247191007195138,799550.8092737242,44919.08168274772,5.505426613374137e-16,-3.080152749726107e-21,-5.034415730794267e-23,9.776829974463072e-26,9.770460801591874e-27,-3.953819587350157e-26,1.0624154305370997e-26,-1.7498082434431916e-26,2247191.0072475406,186871.50624927488
1999.0,0.22247191012865744,799308.2159939788,69178.38952722661,-1.389932810644859e-15,6.701962728689188e-22,3.783195268612199e-25,-2.1500352988304436e-27,1.7915137789455526e-28,2.1679930384947438e-29,3.210369674354864e-29,-1.417766398978889e-29,2247191.012680078,191674.8492056817
1999.0,0.22247191013032797,799059.3870954864,94061.25857078767,6.4673956880514545e-15,-2.612054558733349e-22,9.90322515355999e-25,-6.4119327479372215e-27,7.838812048797164e-29,3.177745663920773e-30,-1.3961502918571957e-30,1.089593495725681e-29,2247191.0123252994,196601.65723185727
