Sr,Population,value
11403.996019700331,Competition Specialist,2809.364104804478
11549.483495113791,Competition Specialist,2796.80624764679
11696.827039703847,Competition Specialist,2784.535260525382
11846.05033243518,Competition Specialist,2772.541864660166
11997.177354358855,Competition Specialist,2760.817199416425
12150.232392466372,Competition Specialist,2749.352797670944
12305.240043592616,Competition Specialist,2738.1405629710443
12462.225218368741,Competition Specialist,2727.1727483315644
12621.213145225462,Competition Specialist,2716.441936530239
12782.229374447415,Competition Specialist,2705.941021775715
12945.29978227916,Competition Specialist,2695.663192634653
13110.450575083778,Competition Specialist,2685.6019161151235
13277.708293554291,Competition Specialist,2675.750922813292
13447.099816978958,Competition Specialist,2666.104193039031
13618.652367560828,Competition Specialist,2656.6559438437275
13792.393514792659,Competition Specialist,2647.4006168806495
13968.351179887397,Competition Specialist,2638.3328670343385
14146.553640265303,Competition Specialist,2629.4475517611563
14327.029534098294,Competition Specialist,2620.7397210880968
14509.8078649123,Competition Specialist,2612.204608221623
14694.918006248172,Competition Specialist,2603.837620722225
14882.38970638237,Competition Specialist,2595.634332204254
15072.253093107556,Competition Specialist,2587.590474523863
15264.538678574369,Competition Specialist,2579.7019304209243
15459.277364194786,Competition Specialist,2571.964726583591
15656.500445608335,Competition Specialist,2564.375027106615
15856.239617711371,Competition Specialist,2556.9291273168906
16058.526979750659,Competition Specialist,2549.6234479416785
16263.395040481906,Competition Specialist,2542.45452959696
16470.876723394143,Competition Specialist,2535.419027574936
16681.005372000593,Competition Specialist,2528.5137069115044
16893.814755197352,Competition Specialist,2521.7354377157126
17109.339072690134,Competition Specialist,2515.081190744728
17327.61296049042,Competition Specialist,2508.5480332089455
17548.671496481522,Competition Specialist,2502.1333372745803
17772.55020605602,Competition Specialist,2495.8337138796346
17999.285067824763,Competition Specialist,2489.647133963608
18228.91251939887,Competition Specialist,2483.570800245153
18461.469463245456,Competition Specialist,2477.6022063914206
18696.993272618136,Competition Specialist,2471.7389214565874
18935.521797562953,Competition Specialist,2465.9785869512157
19177.093371001327,Competition Specialist,2460.3189140522704
19421.746814890244,Competition Specialist,2454.757680945799
19669.521446461233,Competition Specialist,2449.292730294764
19920.457084538713,Competition Specialist,2443.921966825005
20174.594055939364,Competition Specialist,2438.643355022792
20431.973201952704,Competition Specialist,2433.4549169378474
20692.63588490458,Competition Specialist,2428.3547300860732
20956.623994804308,Competition Specialist,2423.3409254466114
21223.979956076717,Competition Specialist,2418.411685548202
21494.746734379805,Competition Specialist,2413.5652426400925
21768.967843509832,Competition Specialist,2408.7998769430546
22046.687352394074,Competition Specialist,2404.1139149763703
22327.94989217305,Competition Specialist,2399.5057279568055
22612.800663372796,Competition Specialist,2394.9737302659514
22901.285443169167,Competition Specialist,2390.5163779824115
23193.450592744273,Competition Specialist,2386.1321674756064
23489.343064737077,Competition Specialist,2381.8196340581003
23789.01041078891,Competition Specialist,2377.577350693567
24092.500789185386,Competition Specialist,2373.403926757656
24399.862972595503,Competition Specialist,2369.2980068491756
24711.14635590999,Competition Specialist,2365.2582696492004
25026.400964179167,Competition Specialist,2361.283426825736
25345.677460652347,Competition Specialist,2357.372221981864
25669.02715491952,Competition Specialist,2353.5234296452527
25996.502011157405,Competition Specialist,2349.7358542970983
26328.1546564802,Competition Specialist,2346.008329438722
26664.0383893971,Competition Specialist,2342.3397166940313
27004.2071883777,Competition Specialist,2338.728904946225
27348.715720526674,Competition Specialist,2335.1748095071857
27697.61935036891,Competition Specialist,2331.676371318111
28050.974148747213,Competition Specialist,2328.2325561799444
28408.836901833012,Competition Specialist,2324.8423540123117
28771.26512025234,Competition Specialist,2321.5047781397093
29138.317048327885,Competition Specialist,2318.2188646037444
29510.05167343955,Competition Specialist,2314.9836715002784
29886.528735503827,Competition Specialist,2311.7982783404427
30267.80873657441,Competition Specialist,2308.6617854344618
30653.952950565235,Competition Specialist,2305.5733132973505
31045.02343309761,Competition Specialist,2302.532002075527
31441.083031472648,Competition Specialist,2299.5370109934915
31842.19539477161,Competition Specialist,2296.587517819734
32248.424984084453,Competition Specialist,2293.6827183510513
32659.837082868937,Competition Specialist,2290.821825914554
33076.49780744242,Competition Specialist,2288.00407088661
33498.474117606915,Competition Specialist,2285.2287002280664
33925.83382740992,Competition Specialist,2282.4949770350595
34358.645616042595,Competition Specialist,2279.802180104828
34796.97903887688,Competition Specialist,2277.1496035159144
35240.90453864351,Competition Specialist,2274.5365562221755
35690.493456752294,Competition Specialist,2271.962361660102
36145.81804475754,Competition Specialist,2269.4263573688568
36606.951475969065,Competition Specialist,2266.9278946226373
37073.96785721134,Competition Specialist,2264.4663380747875
37546.94224073337,Competition Specialist,2262.0410654132934
38025.95063626969,Competition Specialist,2259.651467027168
38511.07002325569,Competition Specialist,2257.2969456833594
39002.37836319859,Competition Specialist,2254.97691621376
39499.95461220639,Competition Specialist,2252.6908052119506
40003.87873367658,Competition Specialist,2250.438050739323
40514.23171114647,Competition Specialist,2248.218102040223
41031.09556130814,Competition Specialist,2246.030419265802
41554.5533471888,Competition Specialist,2243.8744732062337
42084.68919149921,Competition Specialist,2241.749745031028
42621.588290153246,Competition Specialist,2239.6557260371155
43165.336925959,Competition Specialist,2237.5919174044534
43716.02248248502,Competition Specialist,2235.557829958874
44273.73345810337,Competition Specialist,2233.552983941916
44838.55948021191,Competition Specialist,2231.5769087873914
45410.591319637584,Competition Specialist,2229.629142904478
45989.92090522438,Competition Specialist,2227.709233467069
46576.64133860644,Competition Specialist,2225.8167362092104
47170.84690917022,Competition Specialist,2223.9512152263706
47772.633109207,Competition Specialist,2222.1122427823907
48382.09664925957,Competition Specialist,2220.2993991218636
48999.33547366384,Competition Specialist,2218.512272287843
49624.44877628914,Competition Specialist,2216.7504579446004
50257.537016479226,Competition Specialist,2215.013559205358
50898.70193519685,Competition Specialist,2213.3011864647656
51548.04657137365,Competition Specialist,2211.612957235993
52205.67527846975,Competition Specialist,2209.9484959922884
52871.69374124356,Competition Specialist,2208.3074340128464
53546.20899273613,Competition Specialist,2206.689409232843
54229.32943147155,Competition Specialist,2205.0940660975316
54921.16483887789,Competition Specialist,2203.52105542022
55621.82639692926,Competition Specialist,2201.9700342440506
56331.42670601352,Competition Specialist,2200.4406657074383
57050.07980302781,Competition Specialist,2198.932618913058
57777.90117970507,Competition Specialist,2197.445568800269
58515.00780117376,Competition Specialist,2195.979196020867
59261.51812475552,Competition Specialist,2194.5331868180547
60017.55211900154,Competition Specialist,2193.1072329085578
60783.23128297236,Competition Specialist,2191.701031367745
61558.67866576306,Competition Specialist,2190.314284517699
62344.01888627864,Competition Specialist,2188.9466998181347
63139.37815326057,Competition Specialist,2187.5979897600673
63944.884285569366,Competition Specialist,2186.267871762169
64760.6667327258,Competition Specialist,2184.9560680697095
65586.85659571436,Competition Specialist,2183.662305656026
66423.58664805138,Competition Specialist,2182.3863161264385
67270.99135712336,Competition Specialist,2181.12783562451
68129.20690579608,Competition Specialist,2179.886604740659
68998.37121430025,Competition Specialist,2178.6623684229485
69878.62396239558,Competition Specialist,2177.454875890083
70770.10661181889,Competition Specialist,2176.2638805465
71672.9624290174,Competition Specialist,2175.089139899498
72587.33650817246,Competition Specialist,2173.9304154783663
73513.37579451718,Competition Specialist,2172.787472755429
74451.22910795143,Competition Specialist,2171.660081068979
75401.04716695752,Competition Specialist,2170.5480135480107
76362.98261282242,Competition Specialist,2169.451047038749
77337.19003416746,Competition Specialist,2168.3689620328773
78323.82599179204,Competition Specialist,2167.301542597451
79323.04904383309,Competition Specialist,2166.248576306427
80335.01977124735,Competition Specialist,2165.209854173777
81359.90080361694,Competition Specialist,2164.18517058814
82397.85684528512,Competition Specialist,2163.174323248973
83449.05470182517,Competition Specialist,2162.1771131041405
84513.66330684721,Competition Specialist,2161.193344288939
85591.85374914619,Competition Specialist,2160.2228240664786
86683.79930019774,Competition Specialist,2159.2653627694112
87789.67544200335,Competition Specialist,2158.320773742974
88909.65989529167,Competition Specialist,2157.388873289276
90043.93264807848,Competition Specialist,2156.4694806128427
91192.67598459298,Competition Specialist,2155.5624177673494
92356.07451457114,Competition Specialist,2154.6675096035287
93534.31520292377,Competition Specialist,2153.78458371822
94727.58739978286,Competition Specialist,2152.913470404516
95936.08287093147,Competition Specialist,2152.054002603017
97159.99582862075,Competition Specialist,2151.2060158541126
