,genus,phyla,num_isolates,bp,NumContigs,mT1,rT1,sT1,rmT1,mT2,rT2,rmT2,mT3,rT3,rmT3,T4,T2G,pr,prm,rmT?,pT2G,T2G_posthoc,rmTotal,bp_std,NumContigs_std,mT1_std,rT1_std,sT1_std,rmT1_std,mT2_std,rT2_std,rmT2_std,mT3_std,rT3_std,rmT3_std,T4_std,T2G_std,pr_std,prm_std,rmT?_std,pT2G_std,T2G_posthoc_std,rmTotal_std
31,Brackiella,Proteobacteria,1,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Labilibacter,Bacteroidetes,2,5953171.0,75.0,1.0,2.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,103814.58918668416,8.48528137423857,1.4142135623730951,0.7071067811865476,0.7071067811865476,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476
33,Levilinea,Chloroflexi,2,4223630.5,53.5,3.0,2.0,2.0,0.0,4.5,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5,2.5,4.5,9118.141943400531,16.263455967290593,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476
34,Pelobium,Bacteroidetes,1,3932770.0,30.0,1.0,2.0,2.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Thorsellia,Proteobacteria,1,3550975.0,67.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Oligella,Proteobacteria,16,2562580.5,58.8125,1.0625,1.0,0.9375,0.0625,6.0,2.125,1.3125,0.1875,0.6875,0.1875,0.0,0.1875,0.0,0.0,0.0625,0.125,0.125,1.9375,174213.57418257243,62.50463316160384,0.6800735254367721,0.5163977794943222,0.5737304826019501,0.25,2.0976176963403033,0.8850612031567836,0.704154339142587,0.5439056290693574,0.9464847243000456,0.5439056290693574,0.0,0.4031128874149275,0.0,0.0,0.25,0.3415650255319866,0.3415650255319866,1.0626225419530053
37,Gordonibacter,Actinobacteria,10,3347591.7,39.6,0.7,0.7,0.8,0.0,2.7,1.4,0.5,0.6,0.9,0.6,1.1,0.2,0.0,0.0,0.0,1.0,0.7,3.1,592738.7356187378,39.03331910048132,0.8232726023485646,0.8232726023485646,1.0327955589886446,0.0,1.9465068427541912,1.2649110640673518,0.97182531580755,0.8432740427115678,0.7378647873726218,0.8432740427115678,1.286683937707919,0.42163702135578396,0.0,0.0,0.0,0.6666666666666666,0.48304589153964794,1.6633299933166201
38,Providencia,Proteobacteria,55,4372459.945454545,42.32727272727273,0.8363636363636363,1.0,1.0,0.2,5.672727272727273,0.8727272727272727,0.23636363636363636,0.16363636363636364,0.6909090909090909,0.12727272727272726,0.7454545454545455,0.0,0.0,0.0,0.05454545454545454,0.16363636363636364,0.12727272727272726,1.490909090909091,336653.92711322446,51.4454239931177,0.9576908254607626,0.9813067629253163,1.1385500851066221,0.40368671387966554,2.5316847373690914,0.8400737501695348,0.428763785595733,0.3733549777275505,0.7421871400406715,0.33634998607300876,0.8436732257127232,0.0,0.0,0.0,0.22918388365077622,0.37335497772755033,0.33634998607300876,1.1034076388662615
39,Mastigocladus,Cyanobacteria,2,7943090.0,115.5,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,872699.875631938,82.73149339882606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
40,Curtobacterium,Actinobacteria,103,3657733.2330097086,59.33009708737864,0.2621359223300971,0.5339805825242718,0.20388349514563106,0.06796116504854369,1.7766990291262137,0.6407766990291263,0.1650485436893204,0.1262135922330097,1.1359223300970873,0.1262135922330097,0.3786407766990291,0.1262135922330097,0.0,0.0,0.0,0.02912621359223301,0.02912621359223301,0.8932038834951457,269198.209264038,106.8344319495849,0.46359983269346194,0.6073977599851281,0.4048534787237514,0.2529099631439077,1.4275444351790991,0.7390291582249267,0.37303964407523765,0.33371385096103484,0.3717616696302649,0.33371385096103484,0.7291749951932507,0.36190161295647544,0.0,0.0,0.0,0.16898257710466574,0.16898257710466574,1.0563776560215727
41,Atopobium,Actinobacteria,22,1591560.9545454546,21.772727272727273,0.45454545454545453,0.5909090909090909,1.2727272727272727,0.09090909090909091,1.5454545454545454,1.0,0.22727272727272727,0.7272727272727273,0.9090909090909091,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0454545454545454,131680.04479201243,18.21807532090776,0.5958006000151015,0.6661253213344647,1.6670995108933298,0.2942449431682498,2.0639138208123566,1.1952286093343936,0.4289320272288885,0.702500173314209,0.7501803534954529,0.5958006000151015,0.2942449431682498,0.2942449431682498,0.0,0.0,0.0,0.0,0.0,0.5754727023663515
42,Caenibacillus,Firmicutes,1,3356119.0,181.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Natronorubrum,Euryarchaeota,7,4295339.428571428,38.285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,2.2857142857142856,2.0,0.14285714285714285,0.0,0.42857142857142855,0.0,1.8571428571428572,0.14285714285714285,0.0,0.0,0.0,1.1428571428571428,0.5714285714285714,2.7142857142857144,567046.9544596394,29.038562210242013,0.37796447300922725,0.5345224838248488,0.37796447300922725,0.0,0.48795003647426655,1.8257418583505538,0.3779644730092273,0.0,0.7867957924694431,0.0,0.8997354108424372,0.3779644730092273,0.0,0.0,0.0,1.0690449676496976,0.7867957924694432,1.2535663410560174
44,Oleomonas,Proteobacteria,1,5643452.0,29.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Archaeoglobus,Euryarchaeota,6,2012300.8333333333,35.333333333333336,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.5,0.5,2.3333333333333335,260171.08999457775,83.61020671345494,0.408248290463863,0.408248290463863,0.408248290463863,0.5163977794943223,1.2110601416389966,0.816496580927726,0.5163977794943223,0.408248290463863,0.5163977794943223,0.408248290463863,1.0954451150103321,0.0,0.0,0.0,0.0,0.5477225575051661,0.5477225575051661,1.2110601416389968
46,Thiohalomonas,Proteobacteria,1,3563632.0,28.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Methanolacinia,Euryarchaeota,2,2817497.0,23.5,0.5,1.0,0.5,0.0,4.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,36476.81041428924,31.81980515339464,0.7071067811865476,0.0,0.7071067811865476,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
48,Cupriavidus,Proteobacteria,100,6986553.65,74.28,0.59,0.57,0.5,0.1,3.8,0.58,0.12,0.39,0.49,0.39,1.14,0.07,0.0,0.0,0.0,0.5,0.46,2.28,772315.2123654814,120.28628140793737,0.7533762390570585,0.7142842712828134,0.6590473688161075,0.30151134457776335,2.391060793282286,0.7132228744837537,0.32659863237109066,0.5485518124198397,0.6741249472052226,0.5485518124198397,0.9430232920203659,0.25643239997624295,0.0,0.0,0.0,0.6890192121758832,0.6878454136877801,1.6519348924485162
49,Ponticoccus,Proteobacteria,1,4562553.0,116.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Faecalitalea,Firmicutes,5,2040807.6,44.2,1.0,1.2,1.4,0.2,5.0,1.8,0.8,0.8,1.0,0.8,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.2,268756.3546696152,50.5143543955577,1.0,0.8366600265340756,1.5165750888103102,0.44721359549995804,6.2048368229954285,1.3038404810405297,1.0954451150103324,0.8366600265340756,0.7071067811865476,0.8366600265340756,0.447213595499958,0.44721359549995804,0.0,0.0,0.0,0.0,0.0,0.8366600265340756
51,Zobellia,Bacteroidetes,4,5394649.25,17.75,1.5,3.25,1.25,0.0,2.0,1.0,0.75,0.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5,2.0,92841.87958522094,19.619293225462194,0.5773502691896257,1.5,0.5,0.0,1.4142135623730951,1.4142135623730951,0.9574271077563381,0.0,0.816496580927726,0.0,0.5,0.0,0.0,0.0,0.0,0.5773502691896257,0.5773502691896257,0.816496580927726
52,Nocardiopsis,Actinobacteria,39,6284596.564102564,199.94871794871796,0.7948717948717948,1.0512820512820513,0.7948717948717948,0.23076923076923078,2.7948717948717947,1.7435897435897436,0.15384615384615385,0.15384615384615385,1.435897435897436,0.15384615384615385,0.9230769230769231,0.10256410256410256,0.0,0.0,0.05128205128205128,0.5641025641025641,0.38461538461538464,2.0,653807.8752310955,279.6494938422164,0.7670684859113122,0.7591102114254676,0.8938234601238358,0.42683279491835396,1.6571930481752501,0.9656726239953908,0.36551776819519577,0.36551776819519577,0.7878976621655153,0.36551776819519577,0.9286270393099977,0.30735474060472834,0.0,0.0,0.2234558650309589,0.7179969137476478,0.6733804983414342,1.5217718205053643
53,Phaeodactylibacter,Bacteroidetes,1,7868778.0,164.0,6.0,7.0,7.0,2.0,7.0,5.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
