,genus,phyla,num_isolates,bp,NumContigs,mT1,rT1,sT1,rmT1,mT2,rT2,rmT2,mT3,rT3,rmT3,T4,T2G,pr,prm,rmT?,pT2G,T2G_posthoc,rmTotal,bp_std,NumContigs_std,mT1_std,rT1_std,sT1_std,rmT1_std,mT2_std,rT2_std,rmT2_std,mT3_std,rT3_std,rmT3_std,T4_std,T2G_std,pr_std,prm_std,rmT?_std,pT2G_std,T2G_posthoc_std,rmTotal_std,Morphology
349,Xenococcus,Cyanobacteria,1,5929641,234,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baeocystous
355,Chroococcidiopsis,Cyanobacteria,4,6542467.25,313.5,0.75,0.75,1,0,6,3,2.25,0,0.25,0,1.75,0,0,0,0,3.25,3.25,7.25,967250.3081,416.6713333,0.957427108,0.957427108,1.414213562,0,1.414213562,2.309401077,1.5,0,0.5,0,0.5,0,0,0,0,1.707825128,1.707825128,2.5,Baeocystous
391,Kamptonema,Cyanobacteria,2,6785382.5,194.5,2,2,4,0,13,8,5,0,1,0,0,0,0,0,0,3,2,7,153693.1944,258.0939751,0,0,4.242640687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
458,Stanieria,Cyanobacteria,2,5504149,4,0,0.5,1,0,8,3.5,2,0,0,0,0.5,0,0,0,0,1,0.5,3,57757.8961,2.828427125,0,0.707106781,1.414213562,0,2.828427125,2.121320344,2.828427125,0,0,0,0.707106781,0,0,0,0,0,0.707106781,1.414213562,Baeocystous
471,Aulosira,Cyanobacteria,1,9353054,7,3,5,3,0,14,5,4,0,1,0,2,0,0,0,1,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
482,Pleurocapsa,Cyanobacteria,3,5913214,86.66666667,1,0.333333333,0.666666667,0,6.333333333,3.666666667,2.333333333,0,0.666666667,0,0.666666667,0,0,0,0,1.666666667,1.333333333,4.333333333,1290325.379,140.6567927,1,0.577350269,0.577350269,0,2.516611478,1.154700538,1.154700538,0,0.577350269,0,1.154700538,0,0,0,0,1.527525232,1.527525232,2.886751346,Baeocystous
516,Trichodesmium,Cyanobacteria,1,7750108,1,2,4,2,0,11,5,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Filamentous
520,Candidatus Atelocyanobacterium,Cyanobacteria,1,1443806,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
527,Aliterella,Cyanobacteria,1,5265703,60,2,5,2,0,7,5,3,0,0,0,2,0,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
536,Synechocystis,Cyanobacteria,10,3834555.2,3.3,1,1,0.9,0.4,5.5,1.5,0.4,0,0.4,0,1.2,0.1,0,0,0,0.7,0.7,2.8,415298.4546,2.71006355,1.414213562,1.154700538,1.197219,0.516397779,2.87711275,1.269295518,0.966091783,0,1.264911064,0,0.632455532,0.316227766,0,0,0,0.948683298,0.948683298,2.573367875,Unicellular
